slug,service,variant,source_png,output_path,width,height,source_kb,webp_kb,status,note
manutencao-odontologica,Manutenção e Acompanhamento Odontológico,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_10 (10).png",public/images/treatments/manutencao-odontologica/hero-desktop.webp,1672,940,1542.8,55.0,production,
manutencao-odontologica,Manutenção e Acompanhamento Odontológico,mobile,"ChatGPT Image 10 de set. de 2026, 15_54_20 (4).png",public/images/treatments/manutencao-odontologica/hero-mobile.webp,941,1672,1505.1,63.1,production,
limpeza-dental,Limpeza Dental / Profilaxia,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_08 (8).png",public/images/treatments/limpeza-dental/hero-desktop.webp,1672,941,1510.7,58.8,production,
limpeza-dental,Limpeza Dental / Profilaxia,mobile,"ChatGPT Image 10 de set. de 2026, 15_54_21 (5).png",public/images/treatments/limpeza-dental/hero-mobile.webp,941,1672,1503.7,69.6,production,
periodontia,Periodontia / Tratamento de Gengiva,desktop,"ChatGPT Image 10 de set. de 2026, 17_50_03 (1).png",public/images/treatments/periodontia/hero-desktop.webp,1672,941,1647.8,74.1,production,updated_from_ReImagens
periodontia,Periodontia / Tratamento de Gengiva,mobile,"ChatGPT Image 10 de set. de 2026, 17_50_03 (2).png",public/images/treatments/periodontia/hero-mobile.webp,941,1672,1483.9,64.8,production,updated_from_ReImagens
cirurgia-gengival,Gengivoplastia e Cirurgia Gengival,desktop,"ChatGPT Image 10 de set. de 2026, 17_50_04 (3).png",public/images/treatments/cirurgia-gengival/hero-desktop.webp,1672,941,1583.1,64.8,production,updated_from_ReImagens
cirurgia-gengival,Gengivoplastia e Cirurgia Gengival,mobile,"ChatGPT Image 10 de set. de 2026, 17_50_04 (4).png",public/images/treatments/cirurgia-gengival/hero-mobile.webp,941,1672,1368.7,56.1,production,updated_from_ReImagens
tratamento-de-canal,Tratamento de Canal / Endodontia,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_20 (1).png",public/images/treatments/tratamento-de-canal/hero-desktop.webp,1672,941,1682.8,86.3,production,
tratamento-de-canal,Tratamento de Canal / Endodontia,mobile,"ChatGPT Image 10 de set. de 2026, 14_54_21 (2).png",public/images/treatments/tratamento-de-canal/hero-mobile.webp,941,1672,1546.0,66.1,production,
extracao-de-siso,Extração de Siso,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_23 (3).png",public/images/treatments/extracao-de-siso/hero-desktop.webp,1672,941,1596.2,83.6,production,
extracao-de-siso,Extração de Siso,mobile,"ChatGPT Image 10 de set. de 2026, 14_54_23 (4).png",public/images/treatments/extracao-de-siso/hero-mobile.webp,941,1672,1564.1,74.5,production,
bruxismo,"Bruxismo, DTM e Dor Orofacial",desktop,"ChatGPT Image 10 de set. de 2026, 14_54_24 (5).png",public/images/treatments/bruxismo/hero-desktop.webp,1672,941,1689.0,92.7,production,
bruxismo,"Bruxismo, DTM e Dor Orofacial",mobile,"ChatGPT Image 10 de set. de 2026, 14_54_25 (6).png",public/images/treatments/bruxismo/hero-mobile.webp,941,1672,1547.6,67.5,production,
bichectomia,Bichectomia,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_25 (7).png",public/images/treatments/bichectomia/hero-desktop.webp,1672,941,1673.8,84.4,production,
bichectomia,Bichectomia,mobile,"ChatGPT Image 10 de set. de 2026, 14_54_26 (8).png",public/images/treatments/bichectomia/hero-mobile.webp,941,1672,1503.1,64.3,production,
harmonizacao-facial,Harmonização Facial,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_29 (1).png",public/images/treatments/harmonizacao-facial/hero-desktop.webp,1672,941,1546.6,61.7,production,
harmonizacao-facial,Harmonização Facial,mobile,"ChatGPT Image 10 de set. de 2026, 14_54_30 (2).png",public/images/treatments/harmonizacao-facial/hero-mobile.webp,941,1672,1393.8,56.6,production,
preenchimento-facial,Preenchimento Facial,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_30 (3).png",public/images/treatments/preenchimento-facial/hero-desktop.webp,1672,941,1517.7,55.3,production,
preenchimento-facial,Preenchimento Facial,mobile,"ChatGPT Image 10 de set. de 2026, 14_54_33 (4).png",public/images/treatments/preenchimento-facial/hero-mobile.webp,941,1672,1382.2,55.4,production,
preenchimento-labial,Preenchimento Labial,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_34 (5).png",public/images/treatments/preenchimento-labial/hero-desktop.webp,1672,941,1526.9,57.8,production,
preenchimento-labial,Preenchimento Labial,mobile,"ChatGPT Image 10 de set. de 2026, 14_54_35 (6).png",public/images/treatments/preenchimento-labial/hero-mobile.webp,941,1672,1473.2,60.9,production,
botox,Botox / Toxina Botulínica e Linhas de Expressão,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_38 (1).png",public/images/treatments/botox/hero-desktop.webp,1672,941,1618.2,69.6,production,
botox,Botox / Toxina Botulínica e Linhas de Expressão,mobile,"ChatGPT Image 10 de set. de 2026, 14_54_39 (2).png",public/images/treatments/botox/hero-mobile.webp,941,1672,1478.2,56.6,production,
bioestimuladores-de-colageno,Bioestimuladores de Colágeno,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_40 (3).png",public/images/treatments/bioestimuladores-de-colageno/hero-desktop.webp,1672,941,1541.9,61.8,production,
bioestimuladores-de-colageno,Bioestimuladores de Colágeno,mobile,"ChatGPT Image 10 de set. de 2026, 14_54_40 (4).png",public/images/treatments/bioestimuladores-de-colageno/hero-mobile.webp,941,1672,1439.7,55.4,production,
perfiloplastia,Perfiloplastia,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_43 (5).png",public/images/treatments/perfiloplastia/hero-desktop.webp,1672,941,1514.3,56.4,production,
perfiloplastia,Perfiloplastia,mobile,"ChatGPT Image 10 de set. de 2026, 14_54_43 (6).png",public/images/treatments/perfiloplastia/hero-mobile.webp,941,1672,1386.9,45.3,production,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_01 (1).png",_extras/desktop_14_54_01_(1).webp,1672,941,1498.6,54.3,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_01 (2).png",_extras/desktop_14_54_01_(2).webp,1672,941,1587.5,58.9,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_02 (3).png",_extras/desktop_14_54_02_(3).webp,1672,941,1535.6,55.2,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_03 (4).png",_extras/desktop_14_54_03_(4).webp,1672,941,1481.4,52.4,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_05 (6).png",_extras/desktop_14_54_05_(6).webp,1672,941,1532.5,60.0,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_07 (7).png",_extras/desktop_14_54_07_(7).webp,1672,941,1464.6,50.6,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_08 (9).png",_extras/desktop_14_54_08_(9).webp,1672,941,1471.2,52.6,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_11 (12).png",_extras/desktop_14_54_11_(12).webp,1672,941,1483.5,50.5,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_12 (13).png",_extras/desktop_14_54_12_(13).webp,1672,941,1505.2,56.4,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_50 (1).png",_extras/desktop_14_54_50_(1).webp,1774,887,1453.4,50.6,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_52 (2).png",_extras/desktop_14_54_52_(2).webp,1774,887,1505.1,57.0,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_53 (3).png",_extras/desktop_14_54_53_(3).webp,1672,940,1502.0,53.2,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_58 (7).png",_extras/desktop_14_54_58_(7).webp,1672,941,1431.5,53.0,extra,
_extra,Alternativa não selecionada,desktop,"ChatGPT Image 10 de set. de 2026, 14_54_58 (8).png",_extras/desktop_14_54_58_(8).webp,1672,941,1478.5,59.5,extra,
